That's a good idea.,0
What's for dinner?,0
It's raining outside.,0
"See you later, bye.",0
Did you watch that show?,0
I'm just going home.,0
This coffee is great.,0
Let's meet up at the cafe around three o'clock.,0
The weather forecast says it'll be sunny tomorrow afternoon.,0
I finally finished reading that book you recommended last week.,0
We should definitely try that new Italian restaurant downtown soon.,0
"My train leaves in about twenty minutes, so I should head out.",0
"I'm really looking forward to our vacation next month, it'll be fun.",0
Did you remember to pick up the groceries on your way back home?,0
"The movie we saw yesterday was absolutely hilarious, I laughed so much.",0
I just booked the tickets for the concert next Saturday evening.,0
I was telling Sarah about the terrible traffic jam I got stuck in this morning on the highway.,0
"We were discussing all the exciting plans for the upcoming birthday party, like the decorations and the cake.",0
My colleague mentioned a new project at work that sounds really challenging but also very rewarding if it goes well.,0
I can't believe how much time has passed since we last went on that amazing road trip together through the mountains.,0
"Remember that intense horror movie we watched last year? It gave me nightmares for days, but it was still good.",0
"I'm thinking of redecorating my living room this spring, maybe a lighter color scheme and some new furniture pieces.",0
She was joking about how much ice cream she ate last night after a really stressful day at the office.,0
"I saw a really cute dog at the park earlier today, it was chasing squirrels with so much energy.",0
We're planning a small get-together with friends this weekend to celebrate Maya's promotion at work.,0
"Please, just let me go.",1
"Help me, he's here!",1
Don't touch me! Get off!,1
"I need help, now.",1
He's following me again.,1
"I can't breathe, please.",1
"Someone, please call the police.",1
I think someone is trying to get into my apartment right now.,1
"He won't let me leave the room, I'm scared.",1
"I'm not safe here, I really need to get away from him.",1
Please just tell them I'm not here if they ask.,1
He keeps threatening to hurt me if I tell anyone what happened.,1
"I'm stuck, I don't know where I am, and I'm really scared.",1
"I feel like I'm being watched all the time lately, it's terrifying.",1
Could you please send an urgent text message to Sarah for me?,1
"This man won't leave me alone, he's been harassing me for hours.",1
"He grabbed my arm and pulled me into the alley, saying no one would ever believe me.",1
"I'm just going to step outside for a second, I left my bag in the car, I think.",1
"Every time I try to walk home, that same car slows down next to me, I'm truly terrified.",1
"He has locked all the doors and taken my phone away, I have no way to contact anyone.",1
"If you're hearing this, please know that I'm in serious trouble and I need someone to find me immediately.",1
"I'm trying to leave, but he keeps blocking the exit and yelling at me not to move from this spot.",1
"My gut feeling is screaming at me that something is terribly wrong, I don't feel safe right now at all.",1
"I just saw him peeking through my window again, even after I told him to stay away from my house.",1
"He said if I scream or make any noise, he'll do something much worse to me, so I have to be quiet.",1
That new café downtown has amazing pastries.,0
Are we still on for dinner tonight at eight?,0
The weather forecast says it's going to rain all weekend.,0
I absolutely loved that historical drama series on Netflix.,0
"Pass me the salt, please.",0
My car broke down again this morning on the way to work.,0
Did you hear about the new art exhibit opening next month?,0
I'm thinking of trying out a new recipe for chicken curry.,0
"This traffic is just absolutely dreadful, isn't it?",0
"Let's meet up around noon for lunch, maybe that Italian place.",0
The ending of that mystery novel totally caught me off guard.,0
I need to pick up some groceries after my appointment today.,0
Her presentation was really insightful and well-researched.,0
Don't forget to water the plants when you get home.,0
I spent the entire afternoon just binge-watching old cartoons.,0
"The concert tickets go on sale next Friday, we should get them.",0
"I heard a really funny joke today, want me to tell you?",0
That new restaurant has the best vegan options I've ever tried.,0
We should plan a long weekend trip to the coast soon.,0
